OrdenNum;Est_SC;F_Creacion;ETA;FechaLibera;Facility;SolCliente;DO;Est_DO;T_Orden;Ant_Est;Nuev_Est;DO;SC;Estado
116809023;400;2017-12-25 08:46:09;27/12/17;2017-12-25 8:46:9. 0;200;20171225003219559359;122833635;130;42;Created;Allocated;122833635;null;1
116809043;600;2017-12-25 13:00:06;30/12/17;2017-12-25 13:0:6. 0;012;116809043;122833833;130;6;Allocated;DO Created;122833833;null;1
116809960;600;2017-12-25 17:00:04;30/12/17;2017-12-25 17:0:3. 986000000;012;116809960;122834170;130;6;Allocated;DO Created;122834170;null;1
116809969;400;2017-12-25 14:56:09;27/12/17;2017-12-25 14:56:9. 872000000;200;116809969;122834020;130;42;Created;Sourced;122834020;null;1
116809973;400;2017-12-25 14:56:48;29/12/17;2017-12-25 14:56:48. 57000000;200;116809973;122834021;130;42;Sourced;Allocated;122834021;null;1
116809973;400;2017-12-25 15:00:08;29/12/17;2017-12-25 15:0:8. 97000000;200;116809973;122834021;130;42;Created;Canceled;122834021;null;1
116810471;500;2017-12-25 17:21:43;28/12/17;2017-12-25 17:21:43. 0;200;116810471;122834396;110;6;Created;Allocated;122834396;null;1
116810471;500;2017-12-25 17:21:42;28/12/17;2017-12-25 17:21:42. 882000000;200;116810471;122834396;110;6;Sourced;Allocated;122834396;null;1
116810471;500;2017-12-25 17:21:42;28/12/17;2017-12-25 17:21:42. 318000000;200;116810471;122834396;110;6;Created;Sourced;122834396;null;1
116810825;400;2017-12-25 18:40:31;27/12/17;2017-12-25 18:39:32. 877000000;200;116810825;122834372;130;42;Created;Sourced;122834372;null;1
116809976;500;2017-12-25 14:58:03;29/12/17;2017-12-25 14:58:3. 898000000;012;116809976;122834189;110;6;Sourced;Allocated;122834189;null;1
116810474;500;2017-12-25 19:00:15;10/01/18;2017-12-25 19:0:15. 0;012;116810474;122834358;110;6;Partially Released;Released;122834358;116810474;1
